Question,Section,Metric,Value,Interpretation
General data overview,Basic statistics,Total cases,6449,Number of international declaration process instances.
General data overview,Basic statistics,Total events,72151,Number of recorded events in the International Declarations log.
General data overview,Basic statistics,Unique activities,34,Number of different activity names in the process.
General data overview,Basic statistics,Start date,2016-10-05 00:00:00+00:00,Earliest timestamp in the event log.
General data overview,Basic statistics,End date,2020-05-10 00:00:00+00:00,Latest timestamp in the event log.
Data quality,Missing values,id,0 missing values (0.0%),Missing values may limit deeper business interpretation if they occur in important columns.
Data quality,Missing values,org:resource,0 missing values (0.0%),Missing values may limit deeper business interpretation if they occur in important columns.
Data quality,Missing values,concept:name,0 missing values (0.0%),Missing values may limit deeper business interpretation if they occur in important columns.
Data quality,Missing values,time:timestamp,0 missing values (0.0%),Missing values may limit deeper business interpretation if they occur in important columns.
Data quality,Missing values,org:role,0 missing values (0.0%),Missing values may limit deeper business interpretation if they occur in important columns.
Data quality,Missing values,case:Permit travel permit number,0 missing values (0.0%),Missing values may limit deeper business interpretation if they occur in important columns.
Data quality,Missing values,case:DeclarationNumber,0 missing values (0.0%),Missing values may limit deeper business interpretation if they occur in important columns.
Data quality,Missing values,case:Amount,0 missing values (0.0%),Missing values may limit deeper business interpretation if they occur in important columns.
Data quality,Missing values,case:RequestedAmount,0 missing values (0.0%),Missing values may limit deeper business interpretation if they occur in important columns.
Data quality,Missing values,case:Permit TaskNumber,0 missing values (0.0%),Missing values may limit deeper business interpretation if they occur in important columns.
Data quality,Missing values,case:Permit BudgetNumber,0 missing values (0.0%),Missing values may limit deeper business interpretation if they occur in important columns.
Data quality,Missing values,case:OriginalAmount,0 missing values (0.0%),Missing values may limit deeper business interpretation if they occur in important columns.
Data quality,Missing values,case:Permit ProjectNumber,0 missing values (0.0%),Missing values may limit deeper business interpretation if they occur in important columns.
Data quality,Missing values,case:concept:name,0 missing values (0.0%),Missing values may limit deeper business interpretation if they occur in important columns.
Data quality,Missing values,case:Permit OrganizationalEntity,0 missing values (0.0%),Missing values may limit deeper business interpretation if they occur in important columns.
Data quality,Missing values,case:travel permit number,0 missing values (0.0%),Missing values may limit deeper business interpretation if they occur in important columns.
Data quality,Missing values,case:Permit RequestedBudget,0 missing values (0.0%),Missing values may limit deeper business interpretation if they occur in important columns.
Data quality,Missing values,case:id,0 missing values (0.0%),Missing values may limit deeper business interpretation if they occur in important columns.
Data quality,Missing values,case:Permit ID,0 missing values (0.0%),Missing values may limit deeper business interpretation if they occur in important columns.
Data quality,Missing values,case:Permit id,0 missing values (0.0%),Missing values may limit deeper business interpretation if they occur in important columns.
Data quality,Missing values,case:BudgetNumber,0 missing values (0.0%),Missing values may limit deeper business interpretation if they occur in important columns.
Data quality,Missing values,case:Permit ActivityNumber,0 missing values (0.0%),Missing values may limit deeper business interpretation if they occur in important columns.
Data quality,Missing values,case:AdjustedAmount,0 missing values (0.0%),Missing values may limit deeper business interpretation if they occur in important columns.
1. Describe and visualize the general process flow,Most frequent activities,Declaration SUBMITTED by EMPLOYEE,8099 events (11.23%),Frequently occurring activities help describe the dominant process behavior.
1. Describe and visualize the general process flow,Most frequent activities,Start trip,6449 events (8.94%),Frequently occurring activities help describe the dominant process behavior.
1. Describe and visualize the general process flow,Most frequent activities,End trip,6449 events (8.94%),Frequently occurring activities help describe the dominant process behavior.
1. Describe and visualize the general process flow,Most frequent activities,Permit SUBMITTED by EMPLOYEE,6255 events (8.67%),Frequently occurring activities help describe the dominant process behavior.
1. Describe and visualize the general process flow,Most frequent activities,Payment Handled,6187 events (8.58%),Frequently occurring activities help describe the dominant process behavior.
1. Describe and visualize the general process flow,Most frequent activities,Request Payment,6183 events (8.57%),Frequently occurring activities help describe the dominant process behavior.
1. Describe and visualize the general process flow,Most frequent activities,Declaration FINAL_APPROVED by SUPERVISOR,6039 events (8.37%),Frequently occurring activities help describe the dominant process behavior.
1. Describe and visualize the general process flow,Most frequent activities,Permit FINAL_APPROVED by SUPERVISOR,5381 events (7.46%),Frequently occurring activities help describe the dominant process behavior.
1. Describe and visualize the general process flow,Most frequent activities,Declaration APPROVED by ADMINISTRATION,5037 events (6.98%),Frequently occurring activities help describe the dominant process behavior.
1. Describe and visualize the general process flow,Most frequent activities,Permit APPROVED by ADMINISTRATION,4839 events (6.71%),Frequently occurring activities help describe the dominant process behavior.
1. Describe and visualize the general process flow,Most frequent activities,Declaration APPROVED by BUDGET OWNER,1834 events (2.54%),Frequently occurring activities help describe the dominant process behavior.
1. Describe and visualize the general process flow,Most frequent activities,Declaration REJECTED by EMPLOYEE,1780 events (2.47%),Frequently occurring activities help describe the dominant process behavior.
1. Describe and visualize the general process flow,Most frequent activities,Permit APPROVED by BUDGET OWNER,1763 events (2.44%),Frequently occurring activities help describe the dominant process behavior.
1. Describe and visualize the general process flow,Most frequent activities,Declaration REJECTED by ADMINISTRATION,1549 events (2.15%),Frequently occurring activities help describe the dominant process behavior.
1. Describe and visualize the general process flow,Most frequent activities,Permit APPROVED by SUPERVISOR,641 events (0.89%),Frequently occurring activities help describe the dominant process behavior.
1. Describe and visualize the general process flow,Most frequent activities,Permit FINAL_APPROVED by DIRECTOR,640 events (0.89%),Frequently occurring activities help describe the dominant process behavior.
1. Describe and visualize the general process flow,Most frequent activities,Declaration APPROVED by PRE_APPROVER,612 events (0.85%),Frequently occurring activities help describe the dominant process behavior.
1. Describe and visualize the general process flow,Most frequent activities,Permit APPROVED by PRE_APPROVER,534 events (0.74%),Frequently occurring activities help describe the dominant process behavior.
1. Describe and visualize the general process flow,Most frequent activities,Send Reminder,434 events (0.6%),Frequently occurring activities help describe the dominant process behavior.
1. Describe and visualize the general process flow,Most frequent activities,Declaration APPROVED by SUPERVISOR,256 events (0.35%),Frequently occurring activities help describe the dominant process behavior.
Process complexity,Events per case,count,6449.0,Shows how many activities are typically recorded per case.
Process complexity,Events per case,mean,11.19,Shows how many activities are typically recorded per case.
Process complexity,Events per case,std,2.74,Shows how many activities are typically recorded per case.
Process complexity,Events per case,min,3.0,Shows how many activities are typically recorded per case.
Process complexity,Events per case,25%,10.0,Shows how many activities are typically recorded per case.
Process complexity,Events per case,50%,10.0,Shows how many activities are typically recorded per case.
Process complexity,Events per case,75%,13.0,Shows how many activities are typically recorded per case.
Process complexity,Events per case,max,27.0,Shows how many activities are typically recorded per case.
2. How long do the different process instances take?,Full case duration from first event to last event,count,6449.0,General case duration based on first and last recorded event in each case.
2. How long do the different process instances take?,Full case duration from first event to last event,mean,86.46,General case duration based on first and last recorded event in each case.
2. How long do the different process instances take?,Full case duration from first event to last event,std,78.35,General case duration based on first and last recorded event in each case.
2. How long do the different process instances take?,Full case duration from first event to last event,min,6.73,General case duration based on first and last recorded event in each case.
2. How long do the different process instances take?,Full case duration from first event to last event,25%,38.12,General case duration based on first and last recorded event in each case.
